Format Version,1.23,Take Name,Patada_Karate_Lateral_S2_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2019-11-27 04.46.56.829 P. M.,Total Frames in Take,722,Total Exported Frames,722,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Subject:L_Asis,Subject:L_Asis,Subject:L_Asis,Subject:L_Bar1,Subject:L_Bar1,Subject:L_Bar1,Subject:L_Bar2,Subject:L_Bar2,Subject:L_Bar2,Subject:L_Heel,Subject:L_Heel,Subject:L_Heel,Subject:L_Knee1,Subject:L_Knee1,Subject:L_Knee1,Subject:L_Mall,Subject:L_Mall,Subject:L_Mall,Subject:L_Met,Subject:L_Met,Subject:L_Met,Subject:R_Asis,Subject:R_Asis,Subject:R_Asis,Subject:R_Bar1,Subject:R_Bar1,Subject:R_Bar1,Subject:R_Bar2,Subject:R_Bar2,Subject:R_Bar2,Subject:R_Heel,Subject:R_Heel,Subject:R_Heel,Subject:R_Knee1,Subject:R_Knee1,Subject:R_Knee1,Subject:R_Mall,Subject:R_Mall,Subject:R_Mall,Subject:R_Met,Subject:R_Met,Subject:R_Met,Subject:Sacrum,Subject:Sacrum,Subject:Sacrum
,ID,"8B1EA9C3115F11EA18CB19F91684FC85","8B1EA9C3115F11EA18CB19F91684FC85","8B1EA9C3115F11EA18CB19F91684FC85","8B1EA9C4115F11EA18CB19F91684FC85","8B1EA9C4115F11EA18CB19F91684FC85","8B1EA9C4115F11EA18CB19F91684FC85","8B1EA9C6115F11EA18CB19F91684FC85","8B1EA9C6115F11EA18CB19F91684FC85","8B1EA9C6115F11EA18CB19F91684FC85","917FFD62115F11EA18CB19F91684FC85","917FFD62115F11EA18CB19F91684FC85","917FFD62115F11EA18CB19F91684FC85","8B1EA9C5115F11EA18CB19F91684FC85","8B1EA9C5115F11EA18CB19F91684FC85","8B1EA9C5115F11EA18CB19F91684FC85","917FFD61115F11EA18CB19F91684FC85","917FFD61115F11EA18CB19F91684FC85","917FFD61115F11EA18CB19F91684FC85","917FFD63115F11EA18CB19F91684FC85","917FFD63115F11EA18CB19F91684FC85","917FFD63115F11EA18CB19F91684FC85","917FFD64115F11EA18CB19F91684FC85","917FFD64115F11EA18CB19F91684FC85","917FFD64115F11EA18CB19F91684FC85","917FFD65115F11EA18CB19F91684FC85","917FFD65115F11EA18CB19F91684FC85","917FFD65115F11EA18CB19F91684FC85","9B6B958A115F11EA18CB19F91684FC85","9B6B958A115F11EA18CB19F91684FC85","9B6B958A115F11EA18CB19F91684FC85","9B6B958C115F11EA18CB19F91684FC85","9B6B958C115F11EA18CB19F91684FC85","9B6B958C115F11EA18CB19F91684FC85","917FFD66115F11EA18CB19F91684FC85","917FFD66115F11EA18CB19F91684FC85","917FFD66115F11EA18CB19F91684FC85","9B6B958B115F11EA18CB19F91684FC85","9B6B958B115F11EA18CB19F91684FC85","9B6B958B115F11EA18CB19F91684FC85","9B6B958D115F11EA18CB19F91684FC85","9B6B958D115F11EA18CB19F91684FC85","9B6B958D115F11EA18CB19F91684FC85","8B1EA9C2115F11EA18CB19F91684FC85","8B1EA9C2115F11EA18CB19F91684FC85","8B1EA9C2115F11EA18CB19F91684FC85"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.101256,0.980668,-0.168695,0.189784,0.695525,-0.206874,0.168387,0.335379,-0.261058,0.089523,0.057583,-0.370784,0.135666,0.500445,-0.232977,0.130963,0.069021,-0.313468,0.077046,0.039552,-0.162485,-0.186704,0.976707,-0.150058,-0.275944,0.698314,-0.226479,-0.259043,0.323865,-0.264101,-0.168040,0.052727,-0.367370,-0.225673,0.519217,-0.248370,-0.211683,0.080067,-0.306769,-0.156279,0.037843,-0.152351,-0.055793,0.992756,-0.371186
1,0.010000,0.101232,0.980697,-0.168720,0.189775,0.695561,-0.206907,0.168421,0.335394,-0.261076,0.089515,0.057590,-0.370799,0.135688,0.500494,-0.232973,0.130953,0.069026,-0.313451,0.077032,0.039444,-0.162436,-0.186705,0.976688,-0.150099,-0.275913,0.698248,-0.226464,-0.259074,0.323901,-0.264062,-0.168071,0.052625,-0.367381,-0.225695,0.519146,-0.248361,-0.211681,0.080053,-0.306761,-0.156328,0.037562,-0.152398,-0.055852,0.992771,-0.371206
2,0.020000,0.101210,0.980726,-0.168750,0.189768,0.695598,-0.206944,0.168455,0.335410,-0.261094,0.089512,0.057590,-0.370811,0.135712,0.500552,-0.232964,0.130945,0.069030,-0.313433,0.077025,0.039358,-0.162393,-0.186708,0.976672,-0.150140,-0.275878,0.698176,-0.226444,-0.259104,0.323935,-0.264024,-0.168095,0.052521,-0.367390,-0.225709,0.519067,-0.248348,-0.211680,0.080038,-0.306753,-0.156376,0.037306,-0.152447,-0.055907,0.992784,-0.371227
3,0.030000,0.101194,0.980751,-0.168784,0.189762,0.695633,-0.206985,0.168485,0.335427,-0.261113,0.089524,0.057563,-0.370812,0.135746,0.500603,-0.232945,0.130942,0.069034,-0.313416,0.077022,0.039277,-0.162350,-0.186717,0.976665,-0.150178,-0.275838,0.698091,-0.226414,-0.259128,0.323963,-0.263998,-0.168104,0.052427,-0.367394,-0.225716,0.518988,-0.248335,-0.211679,0.080024,-0.306747,-0.156426,0.037118,-0.152480,-0.055957,0.992793,-0.371249
4,0.040000,0.101185,0.980766,-0.168822,0.189755,0.695659,-0.207031,0.168506,0.335444,-0.261132,0.089548,0.057516,-0.370802,0.135789,0.500620,-0.232922,0.130949,0.069036,-0.313398,0.077021,0.039207,-0.162309,-0.186731,0.976666,-0.150214,-0.275796,0.698004,-0.226381,-0.259144,0.323984,-0.263986,-0.168106,0.052358,-0.367394,-0.225721,0.518930,-0.248333,-0.211680,0.080014,-0.306741,-0.156478,0.037013,-0.152491,-0.055997,0.992799,-0.371275
5,0.050000,0.101180,0.980769,-0.168866,0.189741,0.695676,-0.207078,0.168512,0.335454,-0.261153,0.089567,0.057479,-0.370793,0.135822,0.500622,-0.232913,0.130952,0.069041,-0.313390,0.077017,0.039165,-0.162282,-0.186747,0.976674,-0.150246,-0.275769,0.697944,-0.226361,-0.259156,0.323997,-0.263986,-0.168108,0.052320,-0.367394,-0.225726,0.518904,-0.248346,-0.211683,0.080009,-0.306738,-0.156534,0.036977,-0.152483,-0.056026,0.992800,-0.371307
